Datetime,Price
5-Sep-21,51762
4-Sep-21,49899
3-Sep-21,50000
2-Sep-21,49291
1-Sep-21,48844
31-Aug-21,47157
30-Aug-21,47008
29-Aug-21,48800
28-Aug-21,48914
27-Aug-21,49076.1
26-Aug-21,46832
25-Aug-21,48989
24-Aug-21,47714
23-Aug-21,49539
22-Aug-21,49264
21-Aug-21,48868
20-Aug-21,49332
19-Aug-21,46765
18-Aug-21,44744
17-Aug-21,44698
16-Aug-21,45940
15-Aug-21,47031
14-Aug-21,47084
13-Aug-21,47842
12-Aug-21,44423
11-Aug-21,45546
10-Aug-21,45612
9-Aug-21,46293
8-Aug-21,43770
7-Aug-21,44589
6-Aug-21,42830
5-Aug-21,40887
4-Aug-21,39754
3-Aug-21,38207
2-Aug-21,39156
1-Aug-21,39922
31-Jul-21,41409
30-Jul-21,42169
29-Jul-21,40041
28-Jul-21,40004
27-Jul-21,39563
26-Jul-21,37296
25-Jul-21,35407
24-Jul-21,33845
23-Jul-21,33597.1
22-Jul-21,32320
21-Jul-21,32141
20-Jul-21,29806.1
19-Jul-21,30847
18-Jul-21,31824
17-Jul-21,31559
16-Jul-21,31429
15-Jul-21,31857
14-Jul-21,32822.6
13-Jul-21,32727
12-Jul-21,33090
11-Jul-21,34239
10-Jul-21,33506
9-Jul-21,33769
8-Jul-21,32873.9
7-Jul-21,33886
6-Jul-21,34140
5-Jul-21,33668
4-Jul-21,35289
3-Jul-21,34758
2-Jul-21,33816
1-Jul-21,33554.4
30-Jun-21,35043.5
29-Jun-21,35895.9
28-Jun-21,34484
27-Jun-21,34717
26-Jun-21,32359
25-Jun-21,31584
24-Jun-21,34656.6
23-Jun-21,33703
22-Jun-21,32553
21-Jun-21,31761
20-Jun-21,35631
19-Jun-21,35585.8
18-Jun-21,35802
17-Jun-21,38061
16-Jun-21,38332
15-Jun-21,40139
14-Jun-21,40500
13-Jun-21,39004
12-Jun-21,35531
11-Jun-21,37338
10-Jun-21,36649.2
9-Jun-21,37347
8-Jun-21,33415
7-Jun-21,33596
6-Jun-21,35782
5-Jun-21,35543
4-Jun-21,36854
3-Jun-21,39209
2-Jun-21,37590
1-Jun-21,36672.6
31-May-21,37305
30-May-21,35615
29-May-21,34570
28-May-21,35667
27-May-21,38435
26-May-21,39301
25-May-21,38363
24-May-21,38772.9
23-May-21,34730.3
22-May-21,37585
21-May-21,37415
20-May-21,40578
19-May-21,36755
18-May-21,42935
17-May-21,43544
16-May-21,46582.9
15-May-21,46784.9
14-May-21,49917
13-May-21,49747
12-May-21,49725
11-May-21,56715
10-May-21,55851
9-May-21,58276
8-May-21,58894
7-May-21,57349
6-May-21,56451
5-May-21,57477
4-May-21,53264
3-May-21,57147
2-May-21,56605
1-May-21,57774
30-Apr-21,57637
29-Apr-21,53566
28-Apr-21,54860
27-Apr-21,55044
26-Apr-21,54103
25-Apr-21,49116.3
24-Apr-21,50167
23-Apr-21,51139
22-Apr-21,51781.3
21-Apr-21,53822
20-Apr-21,56476
19-Apr-21,55639
18-Apr-21,56163
17-Apr-21,59970
16-Apr-21,61325
15-Apr-21,63196
14-Apr-21,62942.7
13-Apr-21,63518
12-Apr-21,59900
11-Apr-21,60034.8
10-Apr-21,59823.8
9-Apr-21,58114
8-Apr-21,58110
7-Apr-21,55960
6-Apr-21,57991
5-Apr-21,59145
4-Apr-21,58240
3-Apr-21,57023
2-Apr-21,58959
1-Apr-21,58727.4
31-Mar-21,58796
30-Mar-21,58841
29-Mar-21,57672.3
28-Mar-21,55773
27-Mar-21,55886
26-Mar-21,54992.9
25-Mar-21,51363
24-Mar-21,52347.2
23-Mar-21,54331
22-Mar-21,54074
21-Mar-21,57368
20-Mar-21,58087
19-Mar-21,58074
18-Mar-21,57640
17-Mar-21,58870
16-Mar-21,56924
15-Mar-21,55644
14-Mar-21,59005
13-Mar-21,61207
12-Mar-21,57315
11-Mar-21,57869
10-Mar-21,55955.2
9-Mar-21,54949.4
8-Mar-21,52395
7-Mar-21,51031.2
6-Mar-21,48895
5-Mar-21,48811
4-Mar-21,48368
3-Mar-21,50425
2-Mar-21,48526
1-Mar-21,49572
28-Feb-21,45300
27-Feb-21,46217
26-Feb-21,46319
25-Feb-21,47144
24-Feb-21,49715
23-Feb-21,48888
22-Feb-21,54078
21-Feb-21,57376
20-Feb-21,55838
19-Feb-21,55847
18-Feb-21,51566
17-Feb-21,52060
16-Feb-21,49225
15-Feb-21,47941
14-Feb-21,48587
13-Feb-21,47177
12-Feb-21,47389
